"","cluster","Geo_FIPS"
"225",0,6001433400
"226",0,6001436000
"227",0,6001436100
"228",0,6001436200
"229",0,6001436300
"230",0,6001436401
"231",0,6001436402
"232",0,6001436500
"233",0,6001436601
"234",0,6001436602
"235",0,6001436700
"236",0,6001436800
"237",0,6001436900
"238",0,6001437000
"239",0,6001437200
"240",0,6001437300
"241",0,6001437400
"242",0,6001437500
"243",0,6001437600
"244",0,6001437800
"245",0,6001437900
"246",0,6001438000
"247",0,6001438100
"248",0,6001438201
"249",2,6001438300
"250",0,6001438400
"251",0,6001440100
"252",0,6001440200
"253",0,6001440301
"254",0,6001440304
"255",0,6001440305
"256",0,6001440306
"257",0,6001440307
"258",0,6001440308
"259",0,6001440331
"260",0,6001440332
"261",0,6001441100
"262",0,6001441200
"263",0,6001441301
"264",0,6001441302
"265",0,6001441402
"266",0,6001441401
"267",0,6001441402
"268",0,6001441501
"269",0,6001444300
"270",0,6001441503
"271",0,6001441521
"272",0,6001441522
"273",0,6001441601
"274",0,6001441602
"275",0,6001441700
"276",0,6001441800
"277",0,6001441921
"278",0,6001441923
"279",0,6001442000
"280",0,6001442100
"281",0,6001442200
"282",0,6001442400
"283",0,6001442500
"284",0,6001442700
"285",0,6001442800
"286",0,6001442900
"287",0,6001443001
"288",0,6001443002
"289",0,6001443102
"290",0,6001443103
"291",0,6001443200
"292",0,6001443200
"293",0,6001450701
"294",0,6001443301
"295",0,6001444100
"296",0,6001444200
"297",0,6001444400
"298",0,6001444500
"299",0,6001450200
"300",0,6001450300
"301",0,6001450400
"302",1,6001450701
"303",1,6001450601
"304",0,6001450602
"305",0,6001450603
"306",0,6001450604
"307",0,6001450605
"308",0,6001450606
"309",0,6001450607
"310",1,6001450701
"311",0,6001450741
"312",0,6001450742
"313",0,6013355104
"314",0,6001451101
"315",0,6001451102
"316",0,6001451201
"317",0,6001451202
"318",0,6001451201
"319",0,6001451202
"320",0,6001451300
"321",0,6001451202
"322",0,6001451401
"323",0,6001451501
"324",0,6001451503
"325",0,6001451601
"326",0,6001451602
"327",0,6001451701
"328",0,6013301000
"329",0,6013305000
"330",0,6013306002
"331",0,6013307101
"332",0,6013307102
"333",0,6013305000
"334",0,6013307201
"335",0,6013307202
"336",0,6013307204
"337",0,6013307205
"338",0,6013308001
"339",0,6013307101
"340",0,6013308002
"341",0,6013314102
"342",0,6013309000
"343",0,6013310000
"344",0,6013311000
"345",0,6013312000
"346",0,6013313101
"347",0,6013313102
"348",0,6013313103
"349",0,6013314102
"350",0,6013314103
"351",0,6013314200
"352",0,6013314104
"353",0,6013315000
"354",0,6013314200
"355",0,6013314200
"356",0,6013315000
"357",0,6013316000
"358",0,6013318000
"359",0,6013317000
"360",0,6013318000
"361",0,6013316000
"362",0,6013320001
"363",0,6013319000
"364",0,6013320001
"365",0,6013321101
"366",0,6013321102
"367",0,6013321102
"368",0,6013347000
"369",0,6013321103
"370",0,6013320002
"371",0,6013321200
"372",0,6013321102
"373",0,6013322000
"374",0,6013323000
"375",0,6013325000
"376",0,6013340001
"377",0,6013326000
"378",0,6013315000
"379",0,6013327000
"380",0,6013328000
"381",0,6013327000
"382",0,6013329000
"383",0,6013330000
"384",0,6013331000
"385",0,6013332000
"386",0,6013333200
"387",0,6013334001
"388",0,6013334004
"389",0,6013335000
"390",0,6013336101
"391",0,6013336102
"392",0,6013337100
"393",0,6013337200
"394",0,6013337300
"395",0,6013338201
"396",0,6013338301
"397",0,6013338302
"398",0,6013340001
"399",0,6013325000
"400",0,6013340002
"401",0,6013351100
"402",0,6013341000
"403",0,6013343001
"404",0,6013343002
"405",0,6013343003
"406",0,6013343003
"407",0,6013345101
"408",0,6013345102
"409",0,6013345103
"410",0,6013345105
"411",0,6013345202
"412",0,6013345108
"413",0,6013345201
"414",0,6013345202
"415",1,6013346101
"416",1,6013346102
"417",1,6013346201
"418",1,6013347000
"419",1,6013321103
"420",1,6013348000
"421",1,6013348000
"422",0,6013349000
"423",0,6013350000
"424",1,6013351200
"425",0,6013351100
"426",0,6013345201
"427",0,6013352101
"428",1,6013352102
"429",0,6013352201
"430",1,6013352202
"431",1,6001400100
"432",1,6013353001
"433",1,6013353002
"434",1,6001400100
"435",1,6001421600
"436",1,6013354001
"437",1,6013354002
"438",0,6013313202
"439",0,6013333100
"440",0,6013355200
"441",0,6013355301
"442",1,6013355302
"443",0,6013355304
"444",0,6013356001
"445",0,6013359204
"446",0,6013356002
"447",0,6013361000
"448",0,6013359203
"449",0,6013357000
"450",0,6013356001
"451",0,6013358000
"452",0,6013359101
"453",0,6013359102
"454",0,6013359202
"455",0,6013359204
"456",0,6013359203
"457",0,6013356002
"458",0,6013359202
"459",0,6013356002
"460",0,6013359204
"461",0,6013360200
"462",0,6013392000
"463",0,6013362000
"464",0,6013356002
"465",0,6013361000
"466",0,6013362000
"467",0,6013369002
"468",0,6013361000
"469",0,6013363000
"470",0,6013364002
"471",0,6013365001
"472",0,6013364002
"473",0,6013368000
"474",0,6013378000
"475",0,6013365002
"476",0,6013366002
"477",0,6013366001
"478",0,6013366002
"479",2,6013367100
"480",2,6013367200
"481",0,6013367200
"482",0,6013367100
"483",0,6013369001
"484",0,6013362000
"485",0,6013369002
"486",0,6013370000
"487",0,6013384000
"488",0,6013371000
"489",0,6013372000
"490",0,6013373000
"491",0,6013374000
"492",0,6013375000
"493",0,6013376000
"494",0,6013377000
"495",0,6013378000
"496",0,6013379000
"497",0,6013380000
"498",0,6013381000
"499",2,6013382000
"500",2,6013386000
"501",0,6013383000
"502",0,6013386000
"503",0,6013362000
"504",0,6013384000
"505",1,6013385100
"506",1,6013361000
"507",0,6013385200
"508",0,6013382000
"509",0,6013386000
"510",0,6013383000
"511",0,6013387000
"512",0,6013388000
"513",0,6013389100
"514",0,6013390200
"515",2,6013383000
"516",2,6013389200
"517",1,6013391000
"518",1,6013390100
"519",1,6013390200
"520",1,6013391000
"521",1,6013390200
"522",1,6013390100
"523",1,6013391000
"524",1,6013356002
"525",1,6013392000
"526",1,6013361000
"527",0,6041101100
"528",0,6041101200
"529",0,6041133000
"530",0,6041102100
"531",0,6041103100
"532",0,6041103200
"533",0,6041104101
"534",0,6041104102
"535",0,6041104200
"536",0,6041104300
"537",0,6041106001
"538",0,6041105000
"539",0,6041106001
"540",0,6041106002
"541",0,6041104200
"542",0,6041107000
"543",0,6041108100
"544",0,6041115000
"545",0,6041108200
"546",0,6041110100
"547",1,6041110200
"548",0,6041118100
"549",0,6041111000
"550",0,6041112100
"551",0,6041118200
"552",0,6041113000
"553",0,6041114100
"554",0,6041118200
"555",0,6041116000
"556",0,6041114200
"557",0,6041114200
"558",0,6041115000
"559",0,6041116000
"560",0,6041114100
"561",0,6041111000
"562",0,6041117000
"563",1,6041111000
"564",1,6041117000
"565",1,6041118100
"566",1,6041119100
"567",1,6041120000
"568",1,6041118100
"569",1,6041111000
"570",1,6041119100
"571",1,6041119100
"572",1,6041121100
"573",1,6041119200
"574",1,6041120000
"575",0,6041120000
"576",0,6041121100
"577",0,6041121200
"578",0,6041121100
"579",1,6041123000
"580",1,6041124100
"581",1,6041124200
"582",0,6041125000
"583",1,6041126100
"584",0,6041126200
"585",1,6041126100
"586",1,6041127000
"587",1,6041128200
"588",1,6041131000
"589",1,6041128100
"590",1,6041130200
"591",1,6041129000
"592",1,6041128200
"593",1,6041127000
"594",2,6041129000
"595",0,6041132100
"596",0,6041132200
"597",0,6041133000
